β,weight,weight_lower,weight_upper
5.6,0.01021575927734375,0.0102081298828125,0.010223388671875
5.7,0.01061248779296875,0.0106048583984375,0.0106201171875
5.8,0.01099395751953125,0.010986328125,0.0110015869140625
5.9,0.01132965087890625,0.011322021484375,0.0113372802734375
6.0,0.01171112060546875,0.0117034912109375,0.01171875
6.1,0.01212310791015625,0.012115478515625,0.0121307373046875
6.2,0.01255035400390625,0.012542724609375,0.0125579833984375
6.3,0.01290130615234375,0.0128936767578125,0.012908935546875
6.4,0.01326751708984375,0.0132598876953125,0.013275146484375
6.5,0.01367950439453125,0.013671875,0.0136871337890625
6.6,0.01412200927734375,0.0141143798828125,0.014129638671875
6.7,0.01453399658203125,0.0145263671875,0.0145416259765625
6.8,0.01488494873046875,0.0148773193359375,0.014892578125
6.9,0.01528167724609375,0.0152740478515625,0.015289306640625
7.0,0.01572418212890625,0.015716552734375,0.0157318115234375
7.1,0.01616668701171875,0.0161590576171875,0.01617431640625
7.2,0.01654815673828125,0.01654052734375,0.0165557861328125
7.3,0.01691436767578125,0.01690673828125,0.0169219970703125
7.5,0.01781463623046875,0.0178070068359375,0.017822265625
8.0,0.01993560791015625,0.019927978515625,0.0199432373046875
8.5,0.02210235595703125,0.0220947265625,0.0221099853515625
9.0,0.02428436279296875,0.0242767333984375,0.0242919921875
9.5,0.02646636962890625,0.026458740234375,0.0264739990234375
10.0,0.02866363525390625,0.028656005859375,0.0286712646484375
10.5,0.03084564208984375,0.0308380126953125,0.030853271484375
11.0,0.03305816650390625,0.033050537109375,0.0330657958984375
11.5,0.03536224365234375,0.0353546142578125,0.035369873046875
12.0,0.03754425048828125,0.03753662109375,0.0375518798828125
12.5,0.03963470458984375,0.0396270751953125,0.039642333984375
13.0,0.04178619384765625,0.041778564453125,0.0417938232421875
13.5,0.04392242431640625,0.043914794921875,0.0439300537109375
14.0,0.04587554931640625,0.045867919921875,0.0458831787109375
14.5,0.04796600341796875,0.0479583740234375,0.0479736328125
15.0,0.04978179931640625,0.049774169921875,0.0497894287109375
15.5,0.05170440673828125,0.05169677734375,0.0517120361328125
16.0,0.05335235595703125,0.0533447265625,0.0533599853515625
16.5,0.05509185791015625,0.055084228515625,0.0550994873046875
17.0,0.05652618408203125,0.0565185546875,0.0565338134765625
17.5,0.05805206298828125,0.05804443359375,0.0580596923828125
18.0,0.06014251708984375,0.0601348876953125,0.060150146484375
18.5,0.06287384033203125,0.0628662109375,0.0628814697265625
19.0,0.06623077392578125,0.06622314453125,0.0662384033203125
19.5,0.07025909423828125,0.07025146484375,0.0702667236328125
20.0,0.07503509521484375,0.0750274658203125,0.075042724609375
20.5,0.07926177978515625,0.079254150390625,0.0792694091796875
21.0,0.08371734619140625,0.083709716796875,0.0837249755859375
21.5,0.08943939208984375,0.0894317626953125,0.089447021484375
22.0,0.09745025634765625,0.097442626953125,0.0974578857421875
22.5,0.10564422607421875,0.1056365966796875,0.10565185546875
23.0,0.11151885986328125,0.11151123046875,0.1115264892578125
23.5,0.12160491943359375,0.1215972900390625,0.121612548828125
24.0,0.13016510009765625,0.130157470703125,0.1301727294921875
24.5,0.13988494873046875,0.1398773193359375,0.139892578125
25.0,0.14820098876953125,0.148193359375,0.1482086181640625
25.5,0.16080474853515625,0.160797119140625,0.1608123779296875
26.0,0.16808319091796875,0.1680755615234375,0.1680908203125
26.5,0.18042755126953125,0.180419921875,0.1804351806640625
